"","id","sex","edad","origen","timerun","categoria","nacionalidad"
"633",633,"Mujer",53,"CALI",3516,"4. Veteranos B","COL"
"634",634,"Mujer",27,"CALI",3516,"2. Abierta","COL"
"635",635,"Hombre",51,"CALI",3517,"4. Veteranos B","COL"
"636",636,"Mujer",33,"POPAYAN",3517,"2. Abierta","COL"
"637",637,"Hombre",34,"CALI",3517,"2. Abierta","COL"
"638",638,"Hombre",33,"POPAYAN",3517,"2. Abierta","COL"
"639",639,"Hombre",61,"CALI",3522,"5. Veteranos C","COL"
"640",640,"Mujer",34,"CALI",3525,"2. Abierta","COL"
"641",641,"Hombre",55,"CALI",3527,"4. Veteranos B","COL"
"642",642,"Hombre",49,"CALI",3528,"3. Veteranos A","COL"
"643",643,"Hombre",35,"CALI",3529,"2. Abierta","COL"
"644",644,"Hombre",38,"CALI",3529,"2. Abierta","COL"
"645",645,"Hombre",30,"CALI",3531,"2. Abierta","COL"
"646",646,"Hombre",18,"CALI",3531,"2. Abierta","COL"
"647",647,"Hombre",18,"CALI",3532,"2. Abierta","COL"
"648",648,"Mujer",35,"CALI",3532,"2. Abierta","COL"
"649",649,"Hombre",46,"CALI",3532,"3. Veteranos A","COL"
"650",650,"Mujer",41,"CALI",3533,"3. Veteranos A","COL"
"651",651,"Mujer",33,"CALI",3533,"2. Abierta","COL"
"652",652,"Hombre",30,"CALI",3533,"2. Abierta","COL"
"653",653,"Hombre",24,"CALI",3536,"2. Abierta","COL"
"654",654,"Hombre",25,"CALI",3537,"2. Abierta","COL"
"655",655,"Hombre",32,"YUMBO",3538,"2. Abierta","COL"
"656",656,"Hombre",30,"JAMUNDI",3539,"2. Abierta","COL"
"657",657,"Hombre",42,"PALMIRA",3539,"3. Veteranos A","COL"
"658",658,"Hombre",40,"CALI",3539,"3. Veteranos A","COL"
"659",659,"Mujer",26,"CANDELARIA",3540,"2. Abierta","COL"
"660",660,"Hombre",36,"CALI",3540,"2. Abierta","COL"
"661",661,"Mujer",28,"CALI",3542,"2. Abierta","COL"
"662",662,"Mujer",57,"CALI",3542,"4. Veteranos B","COL"
"663",663,"Mujer",34,"CALI",3543,"2. Abierta","COL"
"664",664,"Mujer",29,"CALI",3543,"2. Abierta","COL"
"665",665,"Hombre",42,"CALI",3543,"3. Veteranos A","COL"
"666",666,"Hombre",46,"CALI",3544,"3. Veteranos A","COL"
"667",667,"Hombre",35,"CALI",3544,"2. Abierta","COL"
"668",668,"Hombre",50,"CALI",3546,"4. Veteranos B","COL"
"669",669,"Hombre",48,"CALI",3546,"3. Veteranos A","COL"
"670",670,"Hombre",54,"CALI",3547,"4. Veteranos B","COL"
"671",671,"Hombre",65,"CALI",3547,"5. Veteranos C","COL"
"672",672,"Hombre",26,"CALI",3547,"2. Abierta","COL"
"673",673,"Hombre",23,"PALMIRA",3548,"2. Abierta","COL"
"674",674,"Hombre",35,"CALI",3548,"2. Abierta","COL"
"675",675,"Hombre",52,"CALI",3549,"4. Veteranos B","COL"
"676",676,"Mujer",32,"CALI",3551,"2. Abierta","COL"
"677",677,"Hombre",35,"CALI",3552,"2. Abierta","COL"
"678",678,"Hombre",39,"CALI",3552,"2. Abierta","COL"
"679",679,"Hombre",36,"CALI",3554,"2. Abierta","COL"
"680",680,"Hombre",50,"CALI",3554,"4. Veteranos B","COL"
"681",681,"Hombre",34,"CALI",3556,"2. Abierta","COL"
"682",682,"Hombre",35,"CALI",3556,"2. Abierta","COL"
"683",683,"Mujer",40,"CALI",3557,"3. Veteranos A","COL"
"684",684,"Mujer",30,"CALI",3557,"2. Abierta","COL"
"685",685,"Hombre",40,"CALI",3558,"3. Veteranos A","COL"
"686",686,"Mujer",32,"CALI",3558,"2. Abierta","COL"
"687",687,"Hombre",32,"CALI",3559,"2. Abierta","COL"
"688",688,"Hombre",25,"CALI",3560,"2. Abierta","COL"
"689",689,"Hombre",29,"CALI",3560,"2. Abierta","COL"
"690",690,"Hombre",28,"CALI",3560,"2. Abierta","COL"
"691",691,"Hombre",41,"CALI",3562,"3. Veteranos A","COL"
"692",692,"Hombre",21,"CALI",3563,"2. Abierta","COL"
"693",693,"Mujer",63,"CALI",3563,"5. Veteranos C","COL"
"694",694,"Hombre",27,"CALI",3564,"2. Abierta","COL"
"695",695,"Hombre",40,"CALI",3564,"3. Veteranos A","COL"
"696",696,"Hombre",36,"CALI",3565,"2. Abierta","COL"
"697",697,"Hombre",40,"CALI",3565,"3. Veteranos A","COL"
"698",698,"Mujer",37,"CALI",3565,"2. Abierta","COL"
"699",699,"Mujer",31,"CALI",3565,"2. Abierta","COL"
"700",700,"Hombre",26,"CALI",3567,"2. Abierta","COL"
"701",701,"Mujer",31,"CALI",3568,"2. Abierta","COL"
"702",702,"Mujer",24,"CALI",3569,"2. Abierta","COL"
"703",703,"Mujer",33,"CANDELARIA",3570,"2. Abierta","COL"
"704",704,"Hombre",71,"CALI",3570,"5. Veteranos C","COL"
"705",705,"Hombre",43,"CALI",3571,"3. Veteranos A","COL"
"706",706,"Hombre",55,"CALI",3571,"4. Veteranos B","COL"
"707",707,"Hombre",38,"CALI",3572,"2. Abierta","COL"
"708",708,"Hombre",23,"CALI",3573,"2. Abierta","COL"
"709",709,"Hombre",27,"CALI",3573,"2. Abierta","COL"
"710",710,"Hombre",29,"CALI",3575,"2. Abierta","COL"
"711",711,"Hombre",20,"CALI",3576,"2. Abierta","COL"
"712",712,"Hombre",26,"CALI",3576,"2. Abierta","COL"
"713",713,"Mujer",27,"CALI",3576,"2. Abierta","COL"
"714",714,"Mujer",21,"CALI",3577,"2. Abierta","COL"
"715",715,"Hombre",46,"CALI",3578,"3. Veteranos A","COL"
"716",716,"Mujer",35,"CALI",3578,"2. Abierta","COL"
"717",717,"Hombre",61,"CALI",3579,"5. Veteranos C","COL"
"718",718,"Mujer",36,"CALI",3579,"2. Abierta","COL"
"719",719,"Hombre",57,"PALMIRA",3580,"4. Veteranos B","COL"
"720",720,"Hombre",36,"CALI",3581,"2. Abierta","COL"
"721",721,"Hombre",23,"CALI",3582,"2. Abierta","COL"
"722",722,"Hombre",29,"CALI",3586,"2. Abierta","COL"
"723",723,"Hombre",38,"CALI",3586,"2. Abierta","COL"
"724",724,"Mujer",26,"PASTO",3587,"2. Abierta","COL"
"725",725,"Hombre",54,"POPAYAN",3587,"4. Veteranos B","COL"
"726",726,"Hombre",46,"KOLN",3588,"3. Veteranos A","DEU"
"727",727,"Mujer",36,"CALI",3589,"2. Abierta","COL"
"728",728,"Hombre",55,"CALI",3589,"4. Veteranos B","COL"
"729",729,"Mujer",28,"CALI",3591,"2. Abierta","COL"
"730",730,"Mujer",25,"CALI",3591,"2. Abierta","COL"
"731",731,"Hombre",40,"CALI",3591,"3. Veteranos A","COL"
"732",732,"Hombre",25,"CANDELARIA",3592,"2. Abierta","COL"
"733",733,"Mujer",45,"CALI",3594,"3. Veteranos A","COL"
"734",734,"Hombre",32,"CALI",3595,"2. Abierta","COL"
"735",735,"Mujer",24,"CALI",3595,"2. Abierta","COL"
"736",736,"Hombre",34,"CALI",3595,"2. Abierta","COL"
"737",737,"Mujer",27,"CALI",3596,"2. Abierta","COL"
"738",738,"Mujer",33,"CALI",3596,"2. Abierta","COL"
"739",739,"Hombre",38,"CALI",3600,"2. Abierta","COL"
"740",740,"Mujer",58,"CALI",3601,"4. Veteranos B","COL"
"741",741,"Hombre",44,"CALI",3602,"3. Veteranos A","COL"
"742",742,"Hombre",23,"CALI",3604,"2. Abierta","COL"
"743",743,"Mujer",47,"CALI",3605,"3. Veteranos A","COL"
"744",744,"Hombre",37,"CALI",3607,"2. Abierta","COL"
"745",745,"Hombre",30,"CALI",3607,"2. Abierta","COL"
"746",746,"Hombre",58,"CALI",3610,"4. Veteranos B","COL"
"747",747,"Hombre",72,"CALI",3611,"5. Veteranos C","COL"
"748",748,"Hombre",29,"CALI",3612,"2. Abierta","COL"
"749",749,"Mujer",32,"CALI",3613,"2. Abierta","COL"
"750",750,"Hombre",30,"CALI",3617,"2. Abierta","COL"
"751",751,"Hombre",43,"CALI",3617,"3. Veteranos A","COL"
"752",752,"Hombre",34,"CALI",3617,"2. Abierta","COL"
"753",753,"Mujer",35,"CALI",3618,"2. Abierta","COL"
"754",754,"Hombre",38,"CALI",3620,"2. Abierta","COL"
"755",755,"Hombre",50,"CALI",3620,"4. Veteranos B","COL"
"756",756,"Hombre",35,"CALI",3621,"2. Abierta","COL"
"757",757,"Hombre",42,"CALI",3622,"3. Veteranos A","COL"
"758",758,"Mujer",16,"CALI",3623,"1. Juvenil","COL"
"759",759,"Mujer",43,"CALI",3624,"3. Veteranos A","COL"
"760",760,"Mujer",47,"CALI",3624,"3. Veteranos A","COL"
"761",761,"Mujer",43,"CALI",3625,"3. Veteranos A","COL"
"762",762,"Hombre",34,"CALI",3625,"2. Abierta","COL"
"763",763,"Hombre",40,"DAGUA",3625,"3. Veteranos A","COL"
"764",764,"Hombre",18,"CALI",3625,"2. Abierta","COL"
"765",765,"Mujer",33,"CALI",3627,"2. Abierta","COL"
"766",766,"Mujer",44,"CALI",3628,"3. Veteranos A","COL"
"767",767,"Hombre",48,"CALI",3629,"3. Veteranos A","COL"
"768",768,"Hombre",25,"VIJES",3629,"2. Abierta","COL"
"769",769,"Hombre",39,"CALI",3629,"2. Abierta","COL"
"770",770,"Hombre",32,"CALI",3630,"2. Abierta","COL"
"771",771,"Mujer",42,"CALI",3631,"3. Veteranos A","COL"
"772",772,"Mujer",40,"CALI",3633,"3. Veteranos A","COL"
"773",773,"Mujer",43,"CALI",3637,"3. Veteranos A","COL"
"774",774,"Mujer",46,"EL CERRITO",3637,"3. Veteranos A","COL"
"775",775,"Hombre",31,"CALI",3637,"2. Abierta","COL"
